愿	ngjwonH	devoted to, diligent; attentive, careful, prudent.
慊	khemX	to resent, to be dissatisfied
慍	'junH	nourish a grudge, feel resentment but not act on it, loathe
慾	yowk	crave;desire,lust
憚	tanH	shy away from, flinch, be wary, ~癉 exhaustion
憚	tat	~怛 startle, alarm
憮	mjuX	rueful, despairing ~嫵, appealing, likeable
應	'ingH	respond to, reply
扑	phuwk	strike, beat, tap
打	tengX	strike,beat; attack
拒	gjoX	resist, repudiate
拒	kjuX	defensive square (battle formation)
拘	kju	seize, apprehend",  
拘	kuw	bent, buckled
括	kat	to tie up; search; embrace
掛	kweaH	suspend, be worried about, catch/snare", 
擇	draek	select, choose, separate out, prefer
擯	pjinH	throw out, expel, ~儐 receive guests
擾	nyewX	throw into confusion, domesticated
教	kaew	to bring about, to cause, allow
斐	phj+jX	colorful, ornate
斜	zae	slant,incline
旣	kj+jH	already; de facto; since; then
映	'jaengH	glint;dazzle, put in the shade
普	phuX	universal,all
暐	hj+jX	(literary) abundant appearance of light
暝	mengH	dark; nighttime; realm of spirits
暮	muH	sunset/nightfall
曳	yejH	drag, drape, fatigued
曾	tsong	Surname: Zēng
杇	'u	~圬 to plaster,roughcast
杖	drjangX	staff, hold onto, cudgel
杞	khiX	purple willow, wolfberry, boxtree
杳	'jewX	dark/gloomy
杼	drjoX	shuttle of a loom , narrow, thin", 
杼	zyoX	sawtooth oak", 
校	haewH	schools in noble estates, military formation of 500 men, ~效 imitate
校	kaewH	compare, dispute, reckon, animal enclosure
栩	xjoX	v. oak.  栩栩 s.v., to be lively
桐	duwng	paulownia (tall deciduous hardwood tree)
桐	duwng	various trees related to the tung tree
桴	bjuw	eave-purlin, short ridgepole projected under the eaves, ~泭 small raft, ~枹 mallet/drumstick
梧	ngu	Chinese parasol tree
梧	ngu	parasol tree
梨	lij	pear", 
梲	tsyjet	stud on a roof beam
椁	kwak	outer coffin
楓	pjuwng	sweet-gum tree
楝	lenH	chinaberry tree
楮	trhjo	mulberry tree, paper
槁	khawX	to wither, to die out
樊	bjon	n., Fan (a family name)
樓	luw	/n/ storeyed building, tower
殯	pjinH	encoffin a corpse, final preparations for burial
沉	drim	a surname
沛	phajH	marshy plant-cover, watery excess, racing onward
没	mwot	sink, dissolve, vanish
沽	ku	sell,vend,advertise
沽	kuX	wine-vender, approximately
泌	bjit	bubble up", 
洪	huwng	vast, flood", 
浴	yowk	1. wash the body, bathe, lave.a) ablution; purify.2. swoop and soar, of birds.
浸	tshim	浸淫 yimtshim drench and douse, imperceptably advance
浸	tsimH	leak, soak, irrigation, gradually
涅	net	blac mudge, alum used in dying, block up
涉	dzyep	to go through, to wade, to involve
涖	lejH	~蒞 to attend, to arrive, drying up of water,to manage/supervise
混	hwonX	heaving water, muddy; murky, confused;jumbled;mixed", 
溫	'won	(温 variant) warm,tepid,mild,gentle; rekindle,reanimate, intermittent fever
滄	tshang	iron gray-blue, cold, chilly
滕	dong	ancient state in Shandong; water bursting forth
潤	nywinH	moist(en); luster, lustrous; sheen, sleek. rain; freshen, as with necessary moisture. enrich, embellish, enhance; revise, improve; e.g. 潤飾 rùnshī, enrich and adorn, esp. lit. composition.
濛	muwng	drizzling mist
濠	hao	n., moat, trench, ditch
濫	lamH	brim over, overflow, excessively
瀆	duwk	draining trough, overflow, be disrespectful to
瀟	sew	(of water) deep and clear
灝	hawX	limitless, (皓) gleaming white;shimmering", 
炳	pjaengX	to gleam, to light up
煥	xwanH	iridescent
燧	zwijH	fire-kindler, beacon-fire
爲	hjwe	(為) make, do, act as", 
牆	dzjang	wall of a building, funerary drape
版	paenX	woodenplanks used in framing walls, placard on which to inscribe characters, household register
牟	mjuw	bellow (ox), confiscate, enlarge ~侔 equal to, same as, like unto ~眸 pupil (of eye) ~麰 barley
牢	law	pen for domestic animals;coop;prison;granary;secure;desolate
牢	luw	reduce in the middle of the fist; roll in the hand, knead
犂	lej	plow, mottled, arrive at or reach a particular time, definitely
犯	bjomX	to infringe on; to attack; to encroach, criminal, to brave; to face; to withstand
狷	kwenH	prudent;wary, nervous,impatient
猛	maengX	brutish,fierce,severe,streneuous
珠	tsyu	pearl
琢	traewk	to polish", 
瑚	hu	珊瑚 sanhu coral, ritual vessel for sacrifical offerings
瑩	hjwaeng	polished, set a bright stone in place, elucidate", 
璉	ljen	~連 join/link/connect-up
璉	ljenX	vessel for sacrificial offerings
疚	kjuwH	chronic illness, sick with sadness, destitute
皎	kewX	bright moonlight, clear/lucid
皙	sek	white
皦	kewX	white, pure; surname Jiao
盧	lu	earth-black, brazier, skull
盪	dangX	assail, throw oneself against, ~蕩 shake, disoldge
盱	xju	gaze in amazement
盼	pheanH	clear-set eyes, with the white and iris distinct", 
睛	tsjeng	eyeball, vision
瞡	kjeh	瞡瞡 lacking in knowledge and experience
砧	trim	fulling block
硜	kheang	onom. of stone being struck, rigid and obstinate
碣	gjet	upright stone stlab
磷	lin	~粼 clear-cut
祗	tsyij	respectful, honor, only, merely, just; still, as before
祚	dzuH	celestial favour, (祚)royal throne
禎	trjeng	auspicious, good omen", 
禘	dejH	imperial ancestral worship in ancient China
科	khwa	category, article in legal code, protocol, capless
稀	xj+j	/v/ be few, sparse, rare
窬	yu	small door to the side of main gate, opening,aperture, hole, ~踰 pass over, climb beyond
笥	siH	bamboo hamper
篁	hwang	/n/ bamboo-grove
篡	tsrhwaenH	to sieze, take forcibly
簞	tan	bamboo food-basket, bin, caddy
紊	mjunH	disorderly, confused", 
紛	phjun	flag streamers, tangled threads, confused", 
紫	tsjeX	purple,lavendar-colour
紺	komH	deep purple-blue
統	thuwngX	beginning of ball+thread; clue, succession; sequence, govern;conduct;lead", 
經	keng	classic
緅	tsuw	magenta-coloured silk
縕	'jun	generative force, orange colour
縕	'junH	tag-/waste-silk, tangled, concel, contain
縲	lwij	縲絏 n., fetters, ropes for binding prisoners
繚	lew	tie up, wrap up
繪	hwajH	colors neatly coordinated
繹	yek	unwind raw silk from cocoon, follow a single thread, to list out item by item
纖	sjem	fine-woven silk, clever, stingy
羔	kaw	eanling, lambkin; kid
耒	lwijX	plow
耒	lwojH	plow
耘	hjun	to weed
耰	'juw	harrow, implement to break up clods of earth
耶	yae	father
聃	tham	(literary, of ears) large and long, a surname
肸	xit	stir up, excute, activate
腥	seng	raw meat,putrid,grease
與	yo	sentence-final interrogative GP (equiv. to 也平 )
般	pan	distribute, category; class; kind
芙	bju	芙蕖 fúqú(MC bju-gjo), lotus (Nelumbo nucifera); 芙蓉 (bju-yowng) fully-opened lotus, or hibiscus on land.
苔	doj	/n/ moss
茫	mang	vast, expansive
茲	dzi	龜茲 (MC khjuw-dzi), Kucha, oasis city on the northern Silk Road in the Tarim Basin (popular because of its music + instruments).
茲	tsi	this;these, increasingly; more and more, year, reed mat
莞	hwaenX	lightly smiling, bulrushes
莞	kwan	kind of reed/bulrush
莽	mangX	thick weeds, luxurious growth", 
葸	siX	shrink back, shrink away
蒞	lijH	(混) to look down on;manage, verge on, splash
蓉	yowng	芙蓉 bju-yowng, lotus
蓧	dek	basket for carrying grainseed
蓧	dewH	bamboo basket for carrying cut weeds
蓧	thew	yellow-dock,curly-dock
蘧	gjo	蘧蘧 to be sudden
虫	drjuwng	insect
蝴	hu	蝴蝶 - butterfly
衆	tsyuwngH	(眾) multitude, throng", 
裕	yuH	ample;abundant, wide;diffuse;magnanimous", 
裨	bjie	ceremonial garb, subordinate", 
裨	pjie	supplement, fill out, ceremonial garb
襁	kjangX	 sling for infant, swaddling clothes, cord on which cash is strung
覓	mek	to seek out, to find; to choose between
覿	dek	see,notice,appear,be seen
觚	ku	tall beaker for wine,angular,sword grip,writing tablet
訐	kjet	expose another's faults, gossip
訒	nyinH	reserved or discreet in speech, guarded
訕	sraenH	slander,libel,calumniate,ridicule,mock,sneer
詁	kuX	comment, explain", 
說	sywejH	/v/ to speak/say/explain
豔	yemH	seductive, sumptuous
貊	maek	non-Chinese people to the north, quiet, without fuss, giant panda
跖	tsyjek	sole of foot
踖	dzjek	to march ahead 
踖	tsjek	advance carefully
踧	dek	flat and smooth, wrinkled, attentive
踧	tsjuwk	(bn.) 踧踖 (MC tsjuwk-tsjek), discomfited, nonplused; attentive but anxious, polite but fretful. ~蹙, wrinkled, cramped; 2, pressing, imminent ~蹴, trample; 2, kick.
蹈	dawH	tread, step on, stamp to rhythm
蹜	sruwk	walk carefully
蹤	dzjowng	footprints/tracks
躁	tsawH	restless, disturbance
躩	kjwak	briskly stepping, to bound",  
軏	ngjwot	collar-bar of small carriage
軻	kha	n., small cart
輅	luH	wagon, harness
輗	ngej	collar-bag of large carriage
迄	xj+t	to reach, until, as yet", 
迅	swinH	quickly,suddenly
适	syek	go to, marry, to be suited to, (ADV)just then, (ADV) happen
适	tek	to be devoted to, principal wife
遙	yew	distant, far away
遜	swonH	humble, inferior, to flee", 
遲	drij	surname Chi
遲	drijH	to wait for
遶	nyjewH	to rotate around
遼	lew	distant,faraway; lengthy, protracted
邀	'jiew	meet on the way, look for
鄒	tsrjuw	Zou (an ancient Chinese state during the Zhou dynasty)
鄹	tsrjuw	Zou (state)
醫	'i	medicine, physician
醯	xej	vinegar;sour
醴	lejX	sweet liquor
釀	nrjangH	to brew;ferment, incite", 
釜	byuX	cooking-pan, measure of capacity equiv. 64 pints
錐	tsywij	awl", 
鏗	kheang	onom. sound of bells
長	drjang	n., Chang (a personal name)
閒	hean	inactive, idleness
閾	xwik	threshold,doorsill, borderland
闖	trhjimH	rush in, charge in", 
阼	dzuH	east-side steps of great hall, ~祚 dynastic or lineage destiny.
陪	bwoj	piled on top of one-another, accompany, assist
陶	daw	pottery, to mold, pleased, surname
陶	yew	well-pleased and elated, name
隐	'j+nH	lean on, rest against
隐	'j+nX	conceal(ment), hide away, obscure
雌	tshje	female of birds, the feminine
雍	'jowng	harmonious,concordant;affable
靖	dzjengX	respectful;polite, delicate", 
靖	tsjeng	(靖) to signal; to honor", 
鞟	khwak	~鞹 shorn pelt, wrap round or bind up with leather
鞠	kjuwk	leather ball, bend/turn/flex, nurture, child/youth, entirely, all of
韞	'junX	store-away, preserve, hord; secrete, cache
韶	dzyew	music associated with sage-king Shun, spiny tropical fruit
頹	dwoj	collapse;crumbe;cave-in;elapse;descend;fall;submissive
顓	tsywen	untaught,ignorant, decent,honest.exclusively/without exception
餲	'aejH	putrid smell of spoiled food; carious
饌	dzrjwenH	set out, prepare, provide (fine) food.
饌	sjwenX	old unit of cache
駐	trjuH	pause, halt; garrison, defend, guard
駢	ben	pull (horses) side by side, parallel, to put hosues side by side.
騂	sjeng	a roan horse
騫	khjen	defect, fault, scared, pick out.
驕	kjew	large horse, haughty; arrogent
驥	kijH	mythical horse,proficient person
驪	lje	a pure black horse, surname
魋	dwoj	an animal resembling a brown bear, A surname Tui.
鮀	da	the goby, a catfish, alligator.
鯈	haw	n., moat, trench, ditch
鳳	bjuwngH	fabulous animal,phoenix
鵠	howk	swan
鵬	bong	giant mythical bird
鵷	'jwon	species of phoenix
鵷	jwon	species of phoenix
鶯	'eang	oriole, espp. black-naped riole, esp. associated with summer; bright plumage, patterned plumage
鶵	dzrju	fledgling (雛)
麒	gi	麒麟 - unicorn
麟	lin	麒麟 - unicorn
黃	hwang	yellow
黄	hwang	yellow
默	mok	soundless, darkened.
黻	pyut	labris pattern embroidered in ceremonial robes, ~韍, knee-coverings worn by nobles at sacrificial offerings in early times ~紱 fú1, silk waistband upon which to tie pendant gems or seal-cords.
鼐	nojH	great-sized cauldron
鼗	daw	small drum with two attached beaters
齡	leng	age, duration
！	!	!
（	(	(
）	)	)
，	,	,
：	:	:
；	;	;
？	?	?
跂	gjie	行皃又音企
跂	khjieX	踶跂山海經云有跂踵國人行腳跟不著地如人之跂足也又去智巨支二切
跂	khjieH	垂足坐又舉足望也
皃	maewH	儀皃莫教切七
皃	maewk	皃人類狀本莫教切
擁	'jowngX	手擁說文作𢹬抱也又擁劒蟲形似蟹崔豹古今注云一名執火其螯赤故謂之執火於隴切三
螳	dang	螳蜋禮記仲夏月螳蜋生
璞	phaewk	玉璞匹角切十五
誑	kjwangH	欺也居況切四
題	dej	書題說文頟也
題	dejH	又徒雞切
歛	xam	欲也
悌	dejX	愷悌詩作豈弟毛萇云豈樂也弟易也
悌	dejH	孝悌又音上聲
梃	dengX	木片
撻	that	打撻
髑	duwk	髑髏
閭	ljo	侶也居也又閭閻周禮曰五家爲比使之相保五比爲閭使之相受也又姓出衛國頓丘二望又漢複姓四氏凡閭氏出自晉唐叔賈執英賢傳云今東莞有之林間氏出自嬴姓文字志云後漢有蜀郡林閭翁孺博學善書藝文志云古有將閭子名菟好學著書晉有寧州剌史樂安辟閭彬
矉	pjin	說文曰恨張目也
嫗	'juH	老嫗也衣遇切三
笞	trhi	捶擊
嘑	xu	哮嘑周禮曰雞人掌大祭祀夜嘑旦以嘂百官
恢	khwoj	大也苦回切八
贅	tsywejH	贅肉也又最也聚也又贅衣官名也之芮切二
庭	deng	門庭又直也亦州名即漢車師後王庭之地本烏孫國土也其前王庭即交河縣是也特丁切二十一
齎	tsij	齎持也又子兮切
齎	tsej	持也付也遺也裝也送也祖稽切十五
穰	nyang	禾莖也又姓齊將穰苴之後何氏姓苑云今高乎人汝陽切十七
穰	nyangX	豐穰又汝羊切
蹄	dej	上同（足也）
甌	'uw	瓦器亦甌閩又姓出姓苑
俯	pjuX	上同漢書又作俛今音免（說文低頭也太史公書頫仰字如此）
帣	kjwenH	囊也亦三斛爲一帣
誋	giH	告也信也說文誡也
瀝	lek	滴瀝
握	'aewk	持也
眙	yi	盱眙縣在楚州
眙	trhiH	直住視丑吏切五
珥	nyiH	耳飾
促	tshjowk	近也速也至也迫也七玉切六
諡	zyijH	易名又申也說文作謚
秩	drit	積也次也常也序也書曰望秩于山川直一切十二
鯤	kwon	北溟大魚
諧	heaj	和也合也調也偶也戶皆切九
飆	pjiew	風也俗作飈甫遙切十五
坳	'aew	地不平也
培	bwoj	益也隄也助也治也隨也重也
培	buwX	培塿小阜或作㟝
蜩	dew	大蟬
趹	kwet	足疾
槍	tshjang	矟也通俗文云剡葦傷盜謂之槍說文曰歫也
槍	tsrhaeng	欃槍祅星
搶	tshjang	拒也突也
搶	tsrhjangX	頭搶地見史記又七良七養二切
搶	tshjangX	七兩切又初兩七羊二切二
芝	tsyi	芝草論衡曰芝生於土土氣和故芝草生古瑞命記曰王者慈仁則芝草生也
蟪	hwejH	蟪蛄
椿	trhwin	木名丑倫切八
翱	ngaw	翱翔
蓬	buwng	草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十
泠	leng	清泠水也又水名出丹陽又姓左傳周大夫泠州鳩
殤	syang	殤夭
暢	trhjangH	通暢又達也亦姓陳留風俗傳曰暢氏出齊
刪	sraen	除削也又定也所姦切又所晏切五
軼	yit	車過又突也又同結切
軼	det	車相過又音逸
昌	tsyhang	盛也說文曰美言也一曰日光也又姓後漢有東海相昌稀尺良切八
薇	mij	爾雅曰薇垂水謂生於水邊
薇	mj+j	菜也
絜	ket	說文曰麻一耑也
絜	het	爾雅河名即九河之一也又古節切
糠	khang	俗（穀皮）
辜	ku	罪也
睢	xjwie	仰目也
睢	swij	水名在梁郡又許葵切
睢	xjwij	睢盱視皃
睢	xjwijH	恣睢暴戾又許葵切
彰	tsyang	明也
較	kaewH	不等又音角
較	kaewk	車箱又直也略也又古孝切
諱	xjw+jH	說文誋也許貴切四
堙	'jin	亦上同又土山也（並上同）
紹	dzyewX	繼也又姓出何氏姓苑市沼切五
禊	hejH	祓除不祥也又禊飲
垢	kuwX	塵垢
峻	swinH	上同（高也長也險也峭也速也私閏切十三）
嶺	ljengX	山坡也裴潛廣州記云大庾始安臨賀桂陽揭陽爲五嶺與鄧德明南康記云別也
茂	muwH	卉木盛也古作懋莫候切十五
宙	drjuwH	宇宙
覽	lamX	視也又姓何氏姓苑云彭城人盧敢切六
誕	danX	大也育也欺也信也
稅	sywejH	斂也舍也又姓盛弘之荊州記云建平信陵縣有稅氏舒芮切九
闢	bjiek	啓也開也
塚	trjowngX	俗（大也周禮天官冢宰說文曰高墳也釋名曰冢腫也象山頂之高腫起知隴切二）
蹠	tsyek	足履踐也楚人謂跳躍曰蹠
髏	luw	髑髏
蹙	tsjuwk	迫也促也近也急也子六切十七
韝	khuw	射韝臂捍也又古侯切
韝	kuw	臂捍又苦侯切
蛄	ku	螻蛄蟲
螂	lang	scarab-beetle
裡	liX	inside/inner layer of clothing
髐	xaew	sound of arrows
撽	khaewH	strike from the side
髠	khwon	scalp/make bald
婿	sejH	son-in-law
樑	ljang	梁 roof beam/bridge
溯	suH	go upstream
飡	tshan 餐 meal/eat
