Full Entry,Hansi,Pinyin,OC,PoS,Definitions,MC_BS,MC_Pretty,BS_Gloss,Order
"有 yoǔ , *wәʔ, prind, ‘something, somebody’, a as O, preceding the P: 將有待也(Zuo 6.12); 子駟與尉止有爭(Zuo 9.10); preceding a prep: 亦將有以利吾國乎 (Meng 1A1); cf. 5.2.1; b mod, ‘some, a’: 有朋 自遠方來，不亦樂乎 (LY 1.1); 有聖人 作，搆木為巢 (HFei 49); but cf. Box 25. Ant. 無 [86.8].",有,yǒu,*wәʔ,prind,"‘something, somebody’, a as O, preceding the P: 將有待也(Zuo 6.12); 子駟與尉止有爭 (Zuo 9.10); preceding a prep: 亦將有以利吾國乎 (Meng 1A1); cf. 5.2.1; b mod, ‘some, a’: 有朋 自遠方來，不亦樂乎 (LY 1.1); 有聖人 作，搆木為巢 (HFei 49); but cf. Box 25. Ant. 無[86.8].",hjuwX,hȷúw,"have, exist",3178
"有 yǒu,*wəʔ,nc,1‘existence,being’:故 有無相生 (Lao 2); ant. 無 [86.8]; 2 vi, ‘exist, be there’, only itr: 君子而不仁者有 矣夫 (LY 14.6); 法有，民安其次 (SJS 20); 若其未有，君亦圖之 (Zuo 10.5); 法 令滋章，盜賊多有 (SJ 122); cf. Box 25.",有,yǒu,*wəʔ,nc,"1‘existence,being’:故 有無相生 (Lao 2); ant. 無 [86.8]; 2 vi, ‘exist, be there’, only itr: 君子而不仁者有 矣夫 (LY 14.6); 法有，民安其次 (SJS 20); 若其未有，君亦圖之(Zuo 10.5); 法 令滋章，盜賊多有 (SJ 122); cf. Box 25.",hjuwX,hȷúw,"have, exist",3178
"楚 Chǔ, *tshraʔ, np, 1 a polity: 吾楚人 也 (ZGC 7.5); 2 vn, ‘behave/speak in the way of Chu’: 雖日撻而求其楚，亦不可 得矣 (Meng 3B6). Note: Chu, founded in the eleventh century bc in the region of modern Hubei and ruled by the Mi 羋 clan, was long considered a ‘barbarian’ polity by the northerners. Yet, in Chunqiu times, it expanded from the middle Yangzi region into the Yangzi delta and the North China plain, even reaching hegemony under king Zhuang莊 (r. 613– 591 bc). A major rival of Qin in the Zhanguo period, Chu was finally annihilated by the latter in 223 bc.",楚,Chǔ,*tshraʔ,np,"1 a polity: 吾楚人 也 (ZGC 7.5); 2 vn, ‘behave/speak in the way of Chu’: 雖日撻而求其楚，亦不可 得矣 (Meng 3B6). Note: Chu, founded in the eleventh century bc in the region of modern Hubei and ruled by the Mi 羋clan, was long considered a ‘barbarian’ polity by the northerners. Yet, in Chunqiu times, it expanded from the middle Yangzi region into the Yangzi delta and the North China plain, even reaching hegemony under king Zhuang莊 (r. 613– 591 bc). A major rival of Qin in the Zhanguo period, Chu was finally annihilated by the latter in 223 bc.",tsrhjoX,tṣhȷó,arrange in order,4850
"辭 cí, *s-lə, nc, ‘word, statement, utterance’: 宰我子貢，善為說辭 (Meng 2A2); 說詩者，不以文害辭，不以辭害 志(Meng 5A4); 所樂而玩者，爻之辭也 (Yi 7).",辭,cí,*s-lə,nc,"‘word, statement, utterance’: 宰我子貢，善為說辭(Meng 2A2); 說詩者，不以文害辭，不以辭害 志 (Meng 5A4); 所樂而玩者，爻之辭也 (Yi 7).",zi,zı̄,words,4851
"辭 cí, *s-lə, vn, 1 ‘make excuses; refuse, reject, decline; bid farewell’, a itr: 萬物 作焉而不辭 (Lao 2); 晏子辭去，景公 拜送 (HSWZ 9); b tr: 為貧者， 辭尊居 卑，辭富居貧(Meng 5B5); 田駢聽之 畢而辭之，客出 (Lü 26.1); 2 nc, ‘modesty, courtesy’: 辭讓之心，禮之端也 (Meng 2A6); 故争奪生而辭讓亡焉 (Xun 23).",辭,cí,*s-lə,vn,"1 ‘make excuses; refuse, reject, decline; bid farewell’, a itr: 萬物 作焉而不辭 (Lao 2); 晏子辭去，景公 拜送(HSWZ 9); b tr: 為貧者， 辭尊居 卑，辭富居貧 (Meng 5B5); 田駢聽之 畢而辭之，客出 (Lü 26.1); 2 nc, ‘modesty, courtesy’: 辭讓之心，禮之端也 (Meng 2A6); 故争奪生而辭讓亡焉 (Xun 23).",zi,zı̄,words,4851
"直 zhí, *drək, vi, 1 ‘be straight; upright, honest’, a itr: 以為直於君而曲 於父 (HFei 49); b caus: 以直其政，方 其義也(Li 39); c mod: 直木先伐，甘 井先竭 (Zhuang 20); 2 nc, ‘straightness’: 於曲之中，必見其直;於直之 中，必見其曲(CQFL 20). Ant. 輮 [159.9]; 曲 [73.2].",直,zhí,*drək,vi,"1 ‘be straight; upright, honest’, a itr: 以為直於君而曲 於父 (HFei 49); b caus: 以直其政，方 其義也 (Li 39); c mod: 直木先伐，甘 井先竭 (Zhuang 20); 2 nc, ‘straightness’: 於曲之中，必見其直;於直之 中，必見其曲 (CQFL 20). Ant. 輮 [159.9]; 曲 [73.2].",drik,ḍık,straight,4852
"陳 Chén, *drin, vn, 1 ‘present, set forth, display; deploy’: a tr: 雖有甲兵，無所陳 之 (Lao 80); b tr2: 上陳之教，而先服 之，則百姓從風矣 (HSWZ 3); c itr with PrP: 我非堯舜之道，不敢以陳於王前 (Meng 2B2); 陳之以禮樂，風之以歌謠 (HNan 9); 2 nc, ‘stairs, passage (leading to a hall)’: 堂途謂之陳(Erya 5); 美人充下 陳 (ZGC 11.1).",陳,Chén,*drin,vn,"1 ‘present, set forth, display; deploy’: a tr: 雖有甲兵，無所陳 之 (Lao 80); b tr2: 上陳之教，而先服 之，則百姓從風矣 (HSWZ 3); c itr with PrP: 我非堯舜之道，不敢以陳於王前 (Meng 2B2); 陳之以禮樂，風之以歌謠 (HNan 9); 2 nc, ‘stairs, passage (leading to a hall)’: 堂途謂之陳(Erya 5); 美人充下 陳 (ZGC 11.1).",drin,ḍı̄n,arrange,4875
"陳 chén, *drin, np, 1 a polity: 於是陳亂 (Zuo 2.5); 2 family name: 陳良之徒陳相 與其弟辛，負耒耜而自宋之滕 (Meng 3A4). Note: Chen was located in the east of modern Henan and parts of Anhui. Its rulers, enfeoffed by King Wu, belonged to the clan of Gui 媯, which claimed descent from the legendary ruler Shun 舜. Chen was annihilated by Chu in 479 bc.",陳,chén,*drin,np,"1 a polity: 於是陳亂 (Zuo 2.5); 2 family name: 陳良之徒陳相 與其弟辛，負耒耜而自宋之滕 (Meng 3A4). Note: Chen was located in the east of modern Henan and parts of Anhui. Its rulers, enfeoffed by King Wu, belonged to the clan of Gui 媯, which claimed descent from the legendary ruler Shun 舜. Chen was annihilated by Chu in 479 bc.",drin,ḍı̄n,arrange,4875
"春 chūn, *thun, ntemp, ‘spring’: 二年 春，公會戎于潛(Zuo 1.2); 天有四 時，春秋冬夏 (Li 29); 春者，天之和也(CQFL 79).",春,chūn,*thun,ntemp,‘spring’: 二年 春，公會戎于潛 (Zuo 1.2); 天有四 時，春秋冬夏 (Li 29); 春者，天之和也 (CQFL 79).,tsyhwin,ts̯hwı̄n,springtime,4922
"春秋 chūnqiū, *thun-tshiu, nc, 1 ‘spring and autumn’, synecdoche for ‘year’: 先生老矣，春秋高矣 (HSWZ 10); in book titles, ‘annals’, esp. the ‘Spring and Autumn Annals’: 孔子成春秋而亂臣賊 子懼 (Meng 3B9); 春秋者，守往事之合 德之理與不合，而紀其成敗，以為來 事師法(XS 8.5).",春秋,chūnqiū,*thun-tshiu,nc,"1 ‘spring and autumn’, synecdoche for ‘year’: 先生老矣，春秋高矣 (HSWZ 10); in book titles, ‘annals’, esp. the ‘Spring and Autumn Annals’: 孔子成春秋而亂臣賊子懼 (Meng 3B9); 春秋者，守往事之合 德之理與不合，而紀其成敗，以為來 事師法 (XS 8.5).",tsyhwin tshjuw,ts̯hwı̄n tshȷūw,springtime / autumn; crop,4923
"秋 qiū, *tshiu, ntemp, ‘autumn’: 秋八月 丁卯，大事于大廟(Zuo 6.2); 天有四 時，春秋冬夏 (Li 29); 秋者，天之平也(CQFL 79).",秋,qiū,*tshiu,ntemp,‘autumn’: 秋八月 丁卯，大事于大廟 (Zuo 6.2); 天有四時，春秋冬夏 (Li 29); 秋者，天之平也 (CQFL 79).,tshjuw,tshȷūw,autumn; crop,4923
"繁 fán, *ban, vst, a ‘be abundant, profuse; numerous; complex’, a itr: 不璋兩原 則刑乃繁 (Guan 1); b caus: 亂其教，繁 其刑 (Xun 28); c comp: 是以刑彌繁，而 邪不勝(Xun 28); 昔秦法繁於秋荼，而 網密於凝脂 (YTL 55).",繁,fán,*ban,vst,"a ‘be abundant, profuse; numerous; complex’, a itr: 不璋兩原 則刑乃繁 (Guan 1); b caus: 亂其教，繁 其刑(Xun 28); c comp: 是以刑彌繁，而 邪不勝 (Xun 28); 昔秦法繁於秋荼，而 網密於凝脂 (YTL 55).",bjon,bȷōn,"abundant, numerous",4924
"露 lù,*râkh,nc,‘dew’:霜露所隊(Li31); 故天為之下甘露，朱草生 (CQFL 6).",露,lù,*râkh,nc,‘dew’:霜露所隊(Li31); 故天為之下甘露，朱草生 (CQFL 6).,luH,lù,dew; disclose,4925
"義 yì, *ŋaih, vst, 1 ‘be righteous, upright, moral’: 義理也，故行 (Xun 27); 義者，宜也 (Li 31); 義，人之正路 也(Meng 4A11); a itr:其不義又甚入人 園圃竊桃李 (Mo 17); b caus: 督以 正，義其名 (Mo 19); 於是襄子大義之 (SJ 86); 2 nc, ‘right conduct, righteousness, (sense of) justice, morality’: 義之 實，從兄是也 (Meng 4A27); 內外上下 節者，義之情也 (Xun 16); 堅剛而不 屈，義也 (Xun 30); 行充其宜謂之 義，反義為懵 (XS 8.3).",義,yì,*ŋaih,vst,"1 ‘be righteous, upright, moral’: 義理也，故行 (Xun 27); 義者，宜也 (Li 31); 義，人之正路 也 (Meng 4A11); a itr:其不義又甚入人 園圃竊桃李 (Mo 17); b caus: 督以 正，義其名 (Mo 19); 於是襄子大義之 (SJ 86); 2 nc, ‘right conduct, righteousness, (sense of) justice, morality’: 義之 實，從兄是也 (Meng 4A27); 內外上下 節者，義之情也 (Xun 16); 堅剛而不 屈，義也 (Xun 30); 行充其宜謂之義，反義為懵 (XS 8.3).",ngjeH,ngȷè,duty; justice,4926
"輿 yú, *la, nc, ‘cart, waggon, coach’: 禮 國之幹也，敬禮之輿也 (Zuo 5.11); 假輿馬者，非利足也，而致千里 (Xun 1).",輿,yú,*la,nc,"‘cart, waggon, coach’: 禮 國之幹也，敬禮之輿也 (Zuo 5.11); 假輿馬者，非利足也，而致千里 (Xun 1).",yo,yō,"vehicle, carriage; carry on shoulders",4944
"爾 ěr, *neʔ, prper, ‘you’, a as S: 爾非吾君 也 (SY 9); 唯我與爾有是夫 (LY 7.11); b as O: 吾將射爾 (LNZ 5.6); 我無爾詐，爾 無我虞 (Zuo 7.15); c mod: 走者爾母耶 (LNZ 5.6). Cf. Box 5.",爾,ěr,*neʔ,prper,"‘you’, a as S: 爾非吾君 也 (SY 9); 唯我與爾有是夫 (LY 7.11); b as O: 吾將射爾 (LNZ 5.6); 我無爾詐，爾 無我虞(Zuo 7.15); c mod: 走者爾母耶 (LNZ 5.6). Cf. Box 5.",nejX,néȷ,numerous,4993
"行 xíng, *grâŋ, vtr, ‘perform, practise, carry out’, a tr: 夫子加齊之卿相，得行 道焉 (Meng 2A2); 其所善者，吾將行之 (XX 4.16); b pass: 道行而志通 (Xun 22); 事行而不悖(GY 1.3); 身不行道，不行 於妻子 (Meng 7B9); c mod: 世事變而行 道異也 (SJS 7).",行,xíng,*grâŋ,vtr,"‘perform, practise, carry out’, a tr: 夫子加齊之卿相，得行 道焉 (Meng 2A2); 其所善者，吾將行之 (XX 4.16); b pass: 道行而志通 (Xun 22); 事行而不悖 (GY 1.3); 身不行道，不行 於妻子 (Meng 7B9); c mod: 世事變而行 道異也 (SJS 7).",haeng,hāeng,walk (v.),5019
"行 xíng,*grâŋ,vi,1‘go,walk,travel;act, conduct oneself’, a itr: 終日在地上行止 (Lie 1); 身必安而後行 (YDan 1); b caus, ‘lead, guide’: 子行三軍，則誰與 (LY 7.11); c mod: 使其子狐庸為行人於吳 (GY 17.4). Ant. 止 [77.0].",行,xíng,*grâŋ,vi,"1‘go,walk,travel;act, conduct oneself’, a itr: 終日在地上行止 (Lie 1); 身必安而後行 (YDan 1); b caus, ‘lead, guide’: 子行三軍，則誰與 (LY 7.11); c mod: 使其子狐庸為行人於吳 (GY 17.4). Ant. 止 [77.0].",haeng,hāeng,walk (v.),5019
"行 xìng/xíng, *grâŋh, nc [< preceding], ‘conduct, behaviour’: 人有此三數行 者(Xun 3.5); esp. ‘proper conduct’: 廉而 不劌，行也 (Xun 30).",行,xìng,*grâŋh,nc [< preceding],"‘conduct, behaviour’: 人有此三數行 者(Xun 3.5); esp. ‘proper conduct’: 廉而 不劌，行也 (Xun 30).",hang,hāng,,5019
"法 fǎ, *pap, nc, 1 ‘model, norm, rule, law’: 予之法制，告之訓典 (Zuo 5.23); 人主釋法用私 (HFei 6); ant. 私 [115.2]; 2 vn, ‘take as model/example, follow, model sth. on’, tr: 是以聖人苟可以彊國，不法 其故 (SJS 1); syn. 效 [66.6].",法,fǎ,*pap,nc,"1 ‘model, norm, rule, law’: 予之法制，告之訓典 (Zuo 5.23); 人主釋法用私 (HFei 6); ant. 私 [115.2]; 2 vn, ‘take as model/example, follow, model sth. on’, tr: 是以聖人苟可以彊國，不法 其故 (SJS 1); syn. 效 [66.6].",pjop,pȷop,"model, law",5076
"言 yán, *ŋan, vn, 1 ‘speak, talk (about)’, a itr: 子生五月而能言 (Zhuang 14); 國人 莫敢言 (GY 1.3); 吉凶者，言乎其失得 也，悔吝者，言乎其小疵也 (Yi 7); b tr: 夏禮，吾能言之(LY 3.9); 2 nc,’word, speech, saying’: 子之所言，世俗之言也 (SJS 1). Syn. 语 [149.7].",言,yán,*ŋan,vn,"1 ‘speak, talk (about)’, a itr: 子生五月而能言 (Zhuang 14); 國人 莫敢言 (GY 1.3); 吉凶者，言乎其失得 也，悔吝者，言乎其小疵也 (Yi 7); b tr: 夏禮，吾能言之 (LY 3.9); 2 nc,’word, speech, saying’: 子之所言，世俗之言也 (SJS 1). Syn. 语 [149.7].",ngjon,ngȷōn,(a particle),5077
"榮 róng, *wreŋ, nc, ‘blossom; glory, honour, fame’: 衣食足則知榮辱 (Guan 1).",榮,róng,*wreŋ,nc,"‘blossom; glory, honour, fame’: 衣食足則知榮辱 (Guan 1).",hjwaeng,hȷwāeng,"glory, honor",5103
"寶 baǒ , *pûʔ, nc, 1 ‘jewellery, treasure, valuables’: 玉人以為寶也 (Zuo 9.15); 2 vst, ‘be valuable, precious’, only caus: 寶 之，珍之，貴之，神之 (Xun 5); 吾有 三寶，持而寶之 (HFei 20); syn. 珍 [96.5].",寶,baǒ,*pûʔ,nc,"1 ‘jewellery, treasure, valuables’: 玉人以為寶也 (Zuo 9.15); 2 vst, ‘be valuable, precious’, only caus: 寶 之，珍之，貴之，神之 (Xun 5); 吾有 三寶，持而寶之 (HFei 20); syn. 珍 [96.5].",pawX,páw,,5104
"梁 liáng, *raŋ, nc, ‘bridge, beam’: 莊子 與惠子遊於濠梁之上 (Zhuang 17).",梁,liáng,*raŋ,nc,"‘bridge, beam’: 莊子 與惠子遊於濠梁之上 (Zhuang 17).",ljang,lȷāng,beam; bridge,5171
"經 jīng,*kêŋ,nc,‘warp(inaloom)’,fig. ‘guideline, guiding principle’: 順民之經 (Guan 1); 民不罷勞，君無怨讟，政有經 矣 (Zuo 7.12); fig. ‘guide, canonical text’: 其數則始乎誦經， 終乎讀禮 (Xun 1); 通一 經之士不能獨知其辭，皆集會五經 家，相與共講習讀之 (SJ 24); 是以孔子 論六經，紀異而說不書 (SJ 27); cf. Focus 1.",經,jīng,*kêŋ,nc,"‘warp(inaloom)’,fig. ‘guideline, guiding principle’: 順民之經 (Guan 1); 民不罷勞，君無怨讟，政有經 矣 (Zuo 7.12); fig. ‘guide, canonical text’: 其數則始乎誦經， 終乎讀禮 (Xun 1); 通一 經之士不能獨知其辭，皆集會五經家，相與共講習讀之 (SJ 24); 是以孔子 論六經，紀異而說不書 (SJ 27); cf. Focus 1.",keng,kēng,loom; regulate; norm,5172
"傳 chuán, *dron, vtr,‘relay, transfer, pass on, transmit’, a tr: 堯欲傳天下於舜 (HFei 34); b pass: 名號不傳乎千世(XX 5.1); c pseudo-tr2: 今先聖人為書，而傳之後世 (SJS 26); 夏亡，傳此器殷，殷亡，又 傳此器周 (SJ 4). Cf. 8.2.4.",傳,chuán,*dron,vtr,"‘relay, transfer, pass on, transmit’, a tr: 堯欲傳天下於舜(HFei 34); b pass: 名號不傳乎千世 (XX 5.1); c pseudo-tr2: 今先聖人為書，而傳之後世 (SJS 26); 夏亡，傳此器殷，殷亡，又 傳此器周 (SJ 4). Cf. 8.2.4.",drjwen,ḍȷwēn,transmit,5173
